FILENAME        | OBJECT                    | DATE-OBS               | MJD           | LAMP       | EXPOSURE   | SLIT WIDTH   | AIRMASS  
****************************************************************************************************************************************
IMA72837.fits   | BIAS                      | 2018-09-12T18:32:14.3  |  58373.772387 | none       |        0.0 |          118 |    1.038 
IMA72838.fits   | BIAS                      | 2018-09-12T18:32:39.4  |  58373.772678 | none       |        0.0 |          118 |    1.038 
IMA72839.fits   | BIAS                      | 2018-09-12T18:33:03.7  |  58373.772959 | none       |        0.0 |          118 |    1.038 
IMA72840.fits   | BIAS                      | 2018-09-12T18:33:27.9  |  58373.773239 | none       |        0.0 |          118 |    1.038 
IMA72841.fits   | BIAS                      | 2018-09-12T18:33:52.0  |  58373.773519 | none       |        0.0 |          118 |    1.038 
IMA72842.fits   | BIAS                      | 2018-09-12T18:34:16.3  |    58373.7738 | none       |        0.0 |          118 |    1.038 
IMA72843.fits   | BIAS                      | 2018-09-12T18:34:40.4  |  58373.774079 | none       |        0.0 |          118 |    1.038 
IMA72844.fits   | BIAS                      | 2018-09-12T18:35:04.5  |  58373.774358 | none       |        0.0 |          118 |    1.038 
IMA72845.fits   | BIAS                      | 2018-09-12T18:35:28.7  |  58373.774638 | none       |        0.0 |          118 |    1.038 
IMA72846.fits   | BIAS                      | 2018-09-12T18:35:52.8  |  58373.774917 | none       |        0.0 |          118 |    1.038 
****************************************************************************************************************************************
IMA72847.fits   | INTERNAL FLAT             | 2018-09-12T18:48:58.7  |  58373.784012 | none       |       10.0 |          118 |    1.038 
IMA72848.fits   | INTERNAL FLAT             | 2018-09-12T18:51:30.4  |  58373.785768 | Quartz     |       10.0 |          118 |    1.038 
IMA72849.fits   | INTERNAL FLAT             | 2018-09-12T18:52:50.2  |  58373.786693 | Quartz     |       10.0 |          118 |    1.038 
IMA72850.fits   | INTERNAL FLAT             | 2018-09-12T18:58:37.3  |  58373.790709 | Quartz     |       20.0 |          118 |    1.038 
IMA72851.fits   | INTERNAL FLAT             | 2018-09-12T18:59:22.4  |  58373.791232 | Quartz     |       20.0 |          118 |    1.038 
IMA72852.fits   | INTERNAL FLAT             | 2018-09-12T19:00:06.6  |  58373.791743 | Quartz     |       20.0 |          118 |    1.038 
